35,30,57,48
58,68,-29,-91
-1,-87,-44,-81
-29,-31,-17,-73
92,40,-41,-60
-7,-38,-83,-26
2,-91,82,7
-13,-59,24,-32
-14,92,7,21
-32,14,50,93
47,12,-56,-37
-86,20,-27,21
-79,-73,-51,100
-3,-44,-55,-75
-93,-72,-72,13
4,-37,2,-38
30,-56,-22,75
-75,-13,39,-41
-82,-77,65,39
-14,-36,1,68
-7,76,-41,-44
48,99,-71,-18
-80,-21,-2,-90
-52,26,-87,-93
2,-91,8,60
0,98,-67,24
-5,17,-96,-71
96,49,-28,-65
-62,76,-54,28
32,8,41,-40
-39,20,43,-1
-89,58,56,-53
-99,-9,-22,95
85,-82,67,94
-30,-73,-89,-69
80,51,78,31
9,21,-12,48
49,-49,92,-51
-57,19,89,28
2,-38,44,80
27,90,-23,76
-99,-33,29,68
87,-88,-96,9
78,93,76,43
-73,-53,-73,57
84,-18,-40,88
-59,-56,-47,99
-53,-97,-30,20
34,-14,-44,-51
-70,46,95,-7
38,35,55,-57
-87,-58,-23,-63
-40,83,20,24
-11,-46,-7,-46
2,-70,-25,68
-66,-41,-32,25
17,-63,59,5
-79,-76,-59,18
76,-70,-43,63
17,64,57,-30
-53,-45,-11,7
5,-38,75,-70
-96,-42,-16,62
-27,88,6,78
98,-85,-90,77
-32,10,56,-73
-90,-72,-85,84
-86,35,7,-7
-87,53,70,-26
85,-39,-71,90
-5,-32,90,-39
13,90,-88,-23
-28,-28,20,68
-8,-15,65,30
60,78,-33,10
78,8,-15,54
-70,7,65,98
17,-61,-94,25
73,-52,35,13
-13,21,-24,85
77,27,61,73
-63,39,62,49
-96,-50,48,42
39,-44,11,-8
-69,-50,42,-10
37,-64,-35,-47
-53,-22,97,-59
-79,42,61,67
-71,82,82,14
-60,-8,-19,62
-9,-18,-45,3
69,-36,-83,66
82,-14,-14,53
33,63,92,52
-95,80,34,-23
27,-19,4,-58
-58,-59,-7,-68
66,-28,-17,78
-85,77,-8,65
31,82,-57,-74
61,-73,20,-19
89,-27,30,-60
-65,67,-55,-22
35,24,87,39
58,45,-23,81
10,81,81,-32
-22,-73,16,59
-40,66,3,80
59,-78,29,71
-43,24,31,-98
-2,-61,-55,-5
71,28,41,84
-33,-41,-29,92
72,92,-63,74
83,54,5,44
-6,63,32,-98
-58,-55,85,33
