0,26,none
1,9,none
2,22,1
3,12,0:2
4,9,2:0:1
5,18,0:3
6,29,3
7,20,1
8,22,3
9,8,3
10,7,none
11,20,none
12,15,7
13,24,none
14,6,none
15,5,6
16,7,13:11
17,21,none
18,16,9
19,8,9
20,19,none
21,15,4
22,8,11:3
23,18,none
24,30,6
25,25,16:7
26,18,9:6
27,18,22
28,24,none
29,14,26
30,13,none
31,7,23
32,19,21
33,7,26
34,6,3
35,26,26
36,11,1
37,10,none
38,5,9
39,28,28:23
40,25,none
41,13,8
42,8,none
43,12,0
44,12,31
45,15,0:40:1
46,18,41
47,22,34
48,19,37
49,11,4:22:42
50,26,23:45
51,29,none
52,15,23
53,5,47
54,29,24
55,6,29
56,17,26
57,7,24
58,16,42
59,18,12:29:45
60,20,none
61,10,58:57:47
62,30,none
63,12,10:19
64,28,47
65,8,52:51
66,30,18
67,5,16
68,26,51
69,11,42
70,26,31:62
71,30,65
72,19,16
73,26,61:55
74,21,3
75,29,61:32
76,14,none
77,15,43:66:47
78,25,52
79,17,none
80,29,none
81,7,67
82,17,none
83,10,63
84,8,6:75
85,9,none
86,27,none
87,8,none
88,17,32:1
89,26,44:26
90,7,none
91,24,43:84
92,7,56
93,13,none
94,13,67:63:21
95,14,38
96,24,none
97,6,24:81:89
98,21,none
99,17,34
100,18,none
101,23,83
102,21,32
103,7,none
104,12,none
105,13,none
106,26,101
107,14,0
108,6,none
109,13,93
110,16,none
111,28,23:61:33
112,14,55:84:92
113,5,75
114,6,29:42:99
115,20,5
116,15,37
117,5,116
118,16,none
119,26,none
120,23,54:111
121,8,72:108
122,10,95
123,10,63:22:80
124,26,none
125,19,92:72
126,23,110:6:104
127,17,126:112:104
